mass	central	bTag	JES	lepton	PDF	pileUp	QCD	Trigger	
800	0.022	1.086	1.000	1.011	1.040	1.025	1.028	-	
1000	0.033	1.096	1.007	1.010	1.042	1.005	1.041	-	
1200	0.039	1.112	1.009	1.009	1.042	1.009	1.051	-	
1400	0.040	1.112	1.009	1.008	1.046	1.009	1.059	-	
1600	0.041	1.107	1.025	1.008	1.049	1.019	1.068	-	
1800	0.046	1.094	1.014	1.008	1.053	1.009	1.074	-	
2000	0.046	1.091	1.026	1.008	1.053	1.002	1.080	-	
2500	0.054	1.057	1.039	1.008	1.066	1.005	1.094	-	
3000	0.058	1.031	1.035	1.007	1.079	1.012	1.107	-	
3500	0.062	1.015	1.036	1.007	1.100	1.004	1.119	-	
4000	0.056	1.005	1.040	1.007	1.127	1.005	1.129	-	
