mass	central	bTag	JES	lepton	PDF	pileUp	QCD	Trigger	
800	0.023	1.104	1.023	1.102	1.043	1.026	1.029	1.003	
1000	0.041	1.108	1.013	1.104	1.042	1.005	1.042	1.003	
1200	0.046	1.108	1.017	1.101	1.043	1.016	1.051	1.003	
1400	0.048	1.114	1.018	1.091	1.047	1.007	1.060	1.003	
1600	0.051	1.102	1.021	1.092	1.047	1.001	1.068	1.003	
1800	0.053	1.093	1.025	1.093	1.051	1.020	1.075	1.003	
2000	0.053	1.096	1.027	1.086	1.056	1.012	1.081	1.003	
2500	0.060	1.055	1.034	1.082	1.071	1.010	1.095	1.002	
3000	0.066	1.028	1.043	1.077	1.079	1.007	1.107	1.002	
3500	0.067	1.016	1.040	1.075	1.101	1.005	1.120	1.002	
4000	0.066	1.005	1.044	1.075	1.131	1.006	1.130	1.002	
